,prenom,genre,fréquence
1156,bartholomew,1,0.03
1157,bartlomiej,1,0
1158,bartolomé,1,0.10
1159,bartolomeo,1,0.13
1160,bartosz,1,0
1161,baruch,1,0.41
1162,bas,1,257.73
1163,basajaun,1,0
1164,basant,1,1.31
1165,basemath,0,0
1166,bashe,0,0
1167,bashemath,0,0
1168,basia,0,0
1169,basia,0,0
1170,basil,1,0.35
1171,basile,1,1.02
1172,basilio,1,0
1173,basim,1,0
1174,basma,0,0
1175,basmath,0,0
1176,bassam,1,0.06
1177,bassem,1,0
1178,bastiaan,1,0
1179,bastian,1,0.22
1180,bastien,1,2.29
1181,basu,1,0
1182,basya,0,0
1183,bathsheba,0,0
1184,battista,1,0.06
1185,batya,0,0
1186,batyah,0,0
1187,baudouin,1,0.61
1188,bautista,1,0
1189,baylee,0,0
1190,bea,0,0.13
1191,bearach,1,0
1192,beáta,0,0
1193,beata,0,0.03
1194,beate,0,0.03
1195,beathag,0,0
1196,beathan,1,0
1197,béatrice,0,7.90
1198,beatrice,0,0.10
1199,beatriu,0,0
1200,beatrix,0,0
1201,beatriz,0,0
1202,beau,1,191.49
1203,beaumont,1,4.01
1204,beauregard,1,0.41
1205,beavis,1,0
1206,bébhinn,0,0
1207,bébhionn,0,0
1208,bébinn,0,0
1209,becca,0,0
1210,becka,0,0
1211,beckah,0,0
1212,becky,0,0
1213,bede,1,0.10
1214,bedelia,0,0
1215,bedivere,1,0
1216,bedrich,1,0
1217,bedros,1,0
1218,bedwyr,1,0
1219,bee,0,0.03
1220,beelzebub,1,0
1221,behnam,1,0
1222,behram,1,0
1223,behruz,1,0
1224,béibhinn,0,0
1225,beileag,0,0
1226,beitris,0,0
1227,bekki,0,0
1228,béla,1,0.25
1229,belenus,1,0
1230,belgin,0,0
1231,beli,1,0
1232,belinda,0,0.03
1233,bella,0,1.31
1234,belle,0,162.38
1235,bellona,0,0
1236,belphoebe,0,0
1237,ben,1,42.56
1238,benaiah,1,0
1239,bence,1,0
1240,bendiks,1,0
1241,bendt,1,0
1242,benedek,1,0.06
1243,benedetta,0,0
1244,benedetto,1,0.32
1245,benedict,1,0.73
1246,benedicta,0,0
1247,bénédicte,0,1.53
1248,benedikt,1,0
1249,benedikta,0,0
1250,benedikte,0,0
1251,benedita,0,0
1252,benedito,1,0
1253,benesh,1,0
1254,bengt,1,0
1255,bengta,0,0
1256,beniamino,1,0
1257,benigna,0,0
1258,benigno,1,0
1259,benita,0,0
1260,benito,1,0.22
1261,benjamín,1,0
1262,benjamin,1,8.54
1263,benjamine,0,0.13
1264,benjy,1,0
1265,bennett,1,0.29
1266,bennie,1,0
1267,benno,1,0
1268,benny,1,0.06
